Unnamed: 0,Accuracy,F1 Score,Precision,Recall
ANN (Advanced),91.20 ± 0.01,90.98 ± 0.01,91.27 ± 0.01,91.20 ± 0.01
Random Forest,90.97 ± 0.00,90.41 ± 0.00,90.92 ± 0.00,90.97 ± 0.00
Decision Tree,85.19 ± 0.01,85.17 ± 0.01,85.39 ± 0.01,85.19 ± 0.01
Support Vector Machine,41.47 ± 0.01,31.09 ± 0.00,29.54 ± 0.00,41.47 ± 0.01
XGBoost,94.40 ± 0.01,94.25 ± 0.01,94.37 ± 0.01,94.40 ± 0.01
